#
# Output is generated by GenSAS 7.x-5.0
#
#IPR Term           : Corresponding InterPro entry.
#IPR Description    : Description of the InterPro entry.
#Source             : Name of the source database.
#Source Term        : Database members entry.
#Source Description : Database member description for the entry.
Name	IPR Term	IPR Description	Source	Source Term	Source Description	GO
32225-Vv.00g001340.m01	IPR037033	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain superfamily	GENE3D	G3DSA:2.40.270.10		GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	IPR015712	DNA-directed RNA polymerase, subunit 2	PANTHER	PTHR20856	DNA-DIRECTED RNA POLYMERASE I SUBUNIT 2	GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001340.m01	IPR007121	RNA polymerase, beta subunit, conserved site	PROSITE_PATTERNS	PS01166	RNA_POL_BETA	GO:0006351, GO:0003899, GO:0003677, GO:0032549
32225-Vv.00g001350.m01	noIPR		PRODOM	PD019301		
32225-Vv.00g001380.m01	IPR009285	Orthopoxvirus A26L/A30L	PFAM	PF06086	Pox_A30L_A26L	
32225-Vv.00g001390.m01	noIPR		COILS	Coil	Coil	GO:0019064, GO:0019031
32225-Vv.00g001390.m01	noIPR		GENE3D	G3DSA:1.20.5.110		GO:0019064, GO:0019031
32225-Vv.00g001390.m01	IPR003436	Chordopoxvirus fusion protein/multifunctional envelope protein A27	PFAM	PF02346	Vac_Fusion	GO:0019064, GO:0019031
32225-Vv.00g001400.m01	IPR007664	Poxvirus A28	PFAM	PF04584	Pox_A28	GO:0016032, GO:0019031
32225-Vv.00g001400.m01	IPR007664	Poxvirus A28	PRODOM	PD010756		GO:0016032, GO:0019031
32225-Vv.00g001410.m01	IPR005059	DNA-directed RNA polymerase, 35kDa subunit, poxviral	PIRSF	PIRSF000746	RPO35	GO:0003677, GO:0003899, GO:0019083
32225-Vv.00g001410.m01	IPR005059	DNA-directed RNA polymerase, 35kDa subunit, poxviral	PFAM	PF03396	Pox_RNA_pol_35	GO:0003677, GO:0003899, GO:0019083
32225-Vv.00g001410.m01	IPR005059	DNA-directed RNA polymerase, 35kDa subunit, poxviral	PRODOM	PD009961		GO:0003677, GO:0003899, GO:0019083
32225-Vv.00g001420.m01	IPR009257	Chordopoxvirus A30L	PFAM	PF06015	Chordopox_A30L	
32225-Vv.00g001440.m01	IPR008786	Poxvirus A31	PFAM	PF05771	Pox_A31	
32225-Vv.00g001450.m01	IPR006758	Poxvirus A32	PFAM	PF04665	Pox_A32	
32225-Vv.00g001450.m01	noIPR		GENE3D	G3DSA:3.40.50.300		
32225-Vv.00g001450.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	
32225-Vv.00g001460.m01	IPR016186	C-type lectin-like/link domain superfamily	GENE3D	G3DSA:3.10.100.10		
32225-Vv.00g001460.m01	IPR009238	Chordopoxvirus A33R	PFAM	PF05966	Chordopox_A33R	
32225-Vv.00g001460.m01	IPR016187	C-type lectin fold	SUPERFAMILY	SSF56436	C-type lectin-like	
32225-Vv.00g001470.m01	IPR016186	C-type lectin-like/link domain superfamily	GENE3D	G3DSA:3.10.100.10		
32225-Vv.00g001470.m01	IPR001304	C-type lectin-like	PFAM	PF00059	Lectin_C	
32225-Vv.00g001470.m01	IPR016187	C-type lectin fold	SUPERFAMILY	SSF56436	C-type lectin-like	
32225-Vv.00g001480.m01	IPR009247	Chordopoxvirus A35R	PFAM	PF05989	Chordopox_A35R	
32225-Vv.00g001490.m01	IPR010274	Orthopoxvirus A36R	PFAM	PF05950	Orthopox_A36R	
32225-Vv.00g001490.m01	IPR010274	Orthopoxvirus A36R	PRODOM	PD499178		
32225-Vv.00g001500.m01	IPR009641	Vaccinia virus, A37	PFAM	PF06822	DUF1235	
32225-Vv.00g001520.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001520.m01	IPR013270	CD47 immunoglobulin-like	PFAM	PF08204	V-set_CD47	
32225-Vv.00g001520.m01	IPR013147	CD47 transmembrane	PFAM	PF04549	CD47	
32225-Vv.00g001520.m01	IPR006704	Leukocyte surface antigen CD47	PANTHER	PTHR10613	LEUKOCYTE SURFACE ANTIGEN CD47	
32225-Vv.00g001530.m01	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GENE3D	G3DSA:2.130.10.10		GO:0005515
32225-Vv.00g001530.m01	IPR036352	Sema domain superfamily	SUPERFAMILY	SSF101912	Sema domain	GO:0005515
32225-Vv.00g001540.m01	IPR001627	Sema domain	SMART	SM00630	sema	GO:0005515
32225-Vv.00g001540.m01	IPR001627	Sema domain	PFAM	PF01403	Sema	GO:0005515
32225-Vv.00g001540.m01	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GENE3D	G3DSA:2.130.10.10		GO:0005515
32225-Vv.00g001540.m01	noIPR		PANTHER	PTHR11036:SF85	SUBFAMILY NOT NAMED	GO:0005515
32225-Vv.00g001540.m01	IPR027231	Semaphorin	PANTHER	PTHR11036	SEMAPHORIN	GO:0005515
32225-Vv.00g001540.m01	IPR036352	Sema domain superfamily	SUPERFAMILY	SSF101912	Sema domain	GO:0005515
32225-Vv.00g001550.m01	IPR001304	C-type lectin-like	SMART	SM00034	CLECT_2	
32225-Vv.00g001550.m01	IPR016186	C-type lectin-like/link domain superfamily	GENE3D	G3DSA:3.10.100.10		
32225-Vv.00g001550.m01	noIPR		PANTHER	PTHR22800:SF223	C-TYPE LECTIN DOMAIN FAMILY 2 MEMBER D-RELATED	
32225-Vv.00g001550.m01	noIPR		PANTHER	PTHR22800	C-TYPE LECTIN PROTEINS	
32225-Vv.00g001550.m01	IPR016187	C-type lectin fold	SUPERFAMILY	SSF56436	C-type lectin-like	
32225-Vv.00g001560.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	GENE3D	G3DSA:2.60.240.10		
32225-Vv.00g001560.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	SUPERFAMILY	SSF49889	Soluble secreted chemokine inhibitor, VCCI	
32225-Vv.00g001560.m01	IPR003184	Major secreted virus protein, 35kDa	PFAM	PF02250	Orthopox_35kD	
32225-Vv.00g001570.m01	IPR005455	Profilin	SMART	SM00392	prof_2	GO:0003779
32225-Vv.00g001570.m01	IPR005455	Profilin	PFAM	PF00235	Profilin	GO:0003779
32225-Vv.00g001570.m01	noIPR		GENE3D	G3DSA:3.30.450.30		GO:0003779
32225-Vv.00g001570.m01	IPR027310	Profilin conserved site	PROSITE_PATTERNS	PS00414	PROFILIN	GO:0003779
32225-Vv.00g001570.m01	IPR036140	Profilin superfamily	SUPERFAMILY	SSF55770	Profilin (actin-binding protein)	GO:0003779
32225-Vv.00g001580.m01	IPR009487	Orthopoxvirus A43R	PFAM	PF06517	Orthopox_A43R	
32225-Vv.00g001580.m01	IPR009487	Orthopoxvirus A43R	PRODOM	PD016850		
32225-Vv.00g001600.m01	IPR002225	3-beta hydroxysteroid dehydrogenase/isomerase	PFAM	PF01073	3Beta_HSD	GO:0016616, GO:0003854, GO:0055114, GO:0006694
32225-Vv.00g001600.m01	noIPR		GENE3D	G3DSA:3.40.50.720		GO:0016616, GO:0003854, GO:0055114, GO:0006694
32225-Vv.00g001600.m01	noIPR		PANTHER	PTHR10366:SF387	3 BETA-HYDROXYSTEROID DEHYDROGENASE TYPE 7	GO:0016616, GO:0003854, GO:0055114, GO:0006694
32225-Vv.00g001600.m01	noIPR		PANTHER	PTHR10366	NAD DEPENDENT EPIMERASE/DEHYDRATASE	GO:0016616, GO:0003854, GO:0055114, GO:0006694
32225-Vv.00g001600.m01	IPR036291	NAD(P)-binding domain superfamily	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	GO:0016616, GO:0003854, GO:0055114, GO:0006694
32225-Vv.00g001610.m01	IPR036423	Superoxide dismutase-like, copper/zinc binding domain superfamily	GENE3D	G3DSA:2.60.40.200		GO:0046872, GO:0006801
32225-Vv.00g001610.m01	IPR036423	Superoxide dismutase-like, copper/zinc binding domain superfamily	SUPERFAMILY	SSF49329	Cu,Zn superoxide dismutase-like	GO:0046872, GO:0006801
32225-Vv.00g001610.m01	IPR024134	Superoxide dismutase (Cu/Zn) / superoxide dismutase copper chaperone	PANTHER	PTHR10003	SUPEROXIDE DISMUTASE  CU-ZN -RELATED	GO:0046872, GO:0006801
32225-Vv.00g001610.m01	noIPR		PANTHER	PTHR10003:SF27	COPPER CHAPERONE FOR SUPEROXIDE DISMUTASE	GO:0046872, GO:0006801
32225-Vv.00g001620.m01	IPR022819	Poxvirus	PFAM	PF06227	Poxvirus	
32225-Vv.00g001620.m01	noIPR		GENE3D	G3DSA:1.10.437.20		
32225-Vv.00g001630.m01	IPR009402	Orthopoxvirus A47	PFAM	PF06334	Orthopox_A47	
32225-Vv.00g001640.m01	IPR018094	Thymidylate kinase	TIGRFAM	TIGR00041	TIGR00041	GO:0005524, GO:0004798, GO:0006233
32225-Vv.00g001640.m01	noIPR		GENE3D	G3DSA:3.40.50.300		GO:0005524, GO:0004798, GO:0006233
32225-Vv.00g001640.m01	noIPR		PFAM	PF02223	Thymidylate_kin	GO:0005524, GO:0004798, GO:0006233
32225-Vv.00g001640.m01	noIPR		PANTHER	PTHR10344	THYMIDYLATE KINASE	GO:0005524, GO:0004798, GO:0006233
32225-Vv.00g001640.m01	IPR018095	Thymidylate kinase, conserved site	PROSITE_PATTERNS	PS01331	THYMIDYLATE_KINASE	GO:0005524, GO:0004798, GO:0006233
32225-Vv.00g001640.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	GO:0005524, GO:0004798, GO:0006233
32225-Vv.00g001650.m01	IPR009473	Orthopoxvirus A49	PFAM	PF06489	Orthopox_A49R	
32225-Vv.00g001660.m01	IPR036599	DNA ligase, ATP-dependent, N-terminal domain superfamily	GENE3D	G3DSA:1.10.3260.10		GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR036599	DNA ligase, ATP-dependent, N-terminal domain superfamily	SUPERFAMILY	SSF117018	ATP-dependent DNA ligase DNA-binding domain	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR012308	DNA ligase, ATP-dependent, N-terminal	PFAM	PF04675	DNA_ligase_A_N	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR000977	DNA ligase, ATP-dependent	TIGRFAM	TIGR00574	TIGR00574	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	noIPR		GENE3D	G3DSA:2.40.50.140		GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	noIPR		GENE3D	G3DSA:3.30.1490.70		GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	noIPR		GENE3D	G3DSA:3.30.470.30		GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	noIPR		PANTHER	PTHR10459	DNA LIGASE	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	noIPR		PANTHER	PTHR10459:SF11	DNA LIGASE 3	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	noIPR		SUPERFAMILY	SSF56091	DNA ligase/mRNA capping enzyme, catalytic domain	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR012309	DNA ligase, ATP-dependent, C-terminal	PFAM	PF04679	DNA_ligase_A_C	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR012310	DNA ligase, ATP-dependent, central	PFAM	PF01068	DNA_ligase_A_M	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR016059	DNA ligase, ATP-dependent, conserved site	PROSITE_PATTERNS	PS00333	DNA_LIGASE_A2	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR016059	DNA ligase, ATP-dependent, conserved site	PROSITE_PATTERNS	PS00697	DNA_LIGASE_A1	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001660.m01	IPR012340	Nucleic acid-binding, OB-fold	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	GO:0003677, GO:0006310, GO:0006281, GO:0003910, GO:0071897, GO:0005524, GO:0003909, GO:0051103
32225-Vv.00g001670.m01	IPR007032	Poxvirus A51	PFAM	PF04948	Pox_A51	
32225-Vv.00g001680.m01	IPR003599	Immunoglobulin subtype	SMART	SM00409	IG_3c	
32225-Vv.00g001680.m01	IPR013106	Immunoglobulin V-set domain	PFAM	PF07686	V-set	
32225-Vv.00g001680.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001680.m01	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	
32225-Vv.00g001690.m01	IPR008145	Guanylate kinase/L-type calcium channel beta subunit	PFAM	PF00625	Guanylate_kin	
32225-Vv.00g001690.m01	noIPR		GENE3D	G3DSA:3.40.50.300		
32225-Vv.00g001690.m01	noIPR		PANTHER	PTHR23117	GUANYLATE KINASE-RELATED	
32225-Vv.00g001690.m01	noIPR		PANTHER	PTHR23117:SF11	SUBFAMILY NOT NAMED	
32225-Vv.00g001690.m01	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	
32225-Vv.00g001700.m01	IPR000719	Protein kinase domain	SMART	SM00220	serkin_6	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001700.m01	IPR000719	Protein kinase domain	PFAM	PF00069	Pkinase	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001700.m01	noIPR		GENE3D	G3DSA:1.10.510.10		GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001700.m01	noIPR		PANTHER	PTHR11909:SF100	SERINE/THREONINE-PROTEIN KINASE VRK2	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001700.m01	noIPR		PANTHER	PTHR11909	CASEIN KINASE-RELATED	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001700.m01	IPR008271	Serine/threonine-protein kinase, active site	PROSITE_PATTERNS	PS00108	PROTEIN_KINASE_ST	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001700.m01	IPR011009	Protein kinase-like domain superfamily	SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001720.m01	IPR031450	Orthopoxvirus B3 protein	PFAM	PF17057	B3R	
32225-Vv.00g001730.m01	IPR031450	Orthopoxvirus B3 protein	PFAM	PF17057	B3R	GO:0005524
32225-Vv.00g001730.m01	IPR007421	Schlafen, AAA domain	PFAM	PF04326	AlbA_2	GO:0005524
32225-Vv.00g001730.m01	IPR038461	Schlafen, AAA domain superfamily	GENE3D	G3DSA:3.30.950.30		GO:0005524
32225-Vv.00g001730.m01	noIPR		PANTHER	PTHR12155:SF2	SCHLAFEN FAMILY MEMBER 12	GO:0005524
32225-Vv.00g001730.m01	IPR029684	Schlafen family	PANTHER	PTHR12155	SCHLAFEN	GO:0005524
32225-Vv.00g001740.m01	IPR002110	Ankyrin repeat	SMART	SM00248	ANK_2a	GO:0005515
32225-Vv.00g001740.m01	IPR018272	PRANC domain	PFAM	PF09372	PRANC	GO:0005515
32225-Vv.00g001740.m01	IPR020683	Ankyrin repeat-containing domain	PFAM	PF12796	Ank_2	GO:0005515
32225-Vv.00g001740.m01	IPR036770	Ankyrin repeat-containing domain superfamily	GENE3D	G3DSA:1.25.40.20		GO:0005515
32225-Vv.00g001740.m01	IPR036770	Ankyrin repeat-containing domain superfamily	GENE3D	G3DSA:1.25.40.20		GO:0005515
32225-Vv.00g001740.m01	IPR036770	Ankyrin repeat-containing domain superfamily	SUPERFAMILY	SSF48403	Ankyrin repeat	GO:0005515
32225-Vv.00g001750.m01	noIPR		COILS	Coil	Coil	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	noIPR		GENE3D	G3DSA:2.10.70.10		GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	noIPR		GENE3D	G3DSA:2.10.70.10		GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	noIPR		GENE3D	G3DSA:2.10.70.10		GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	noIPR		PANTHER	PTHR19325	COMPLEMENT COMPONENT-RELATED SUSHI DOMAIN-CONTAINING	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	noIPR		PANTHER	PTHR19325:SF341	C4B-BINDING PROTEIN ALPHA CHAIN	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	IPR000436	Sushi/SCR/CCP domain	SMART	SM00032	CCP_2	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	IPR000436	Sushi/SCR/CCP domain	PFAM	PF00084	Sushi	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	IPR011176	Complement control protein, vaccinia C3L	PIRSF	PIRSF002486	CIP_VAC_C3L	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	IPR035976	Sushi/SCR/CCP superfamily	SUPERFAMILY	SSF57535	Complement control module/SCR domain	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	IPR035976	Sushi/SCR/CCP superfamily	SUPERFAMILY	SSF57535	Complement control module/SCR domain	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001750.m01	IPR035976	Sushi/SCR/CCP superfamily	SUPERFAMILY	SSF57535	Complement control module/SCR domain	GO:0045916, GO:0016021, GO:0001848
32225-Vv.00g001760.m01	IPR009974	Vaccinia virus, B6	PFAM	PF07389	DUF1500	
32225-Vv.00g001770.m01	IPR010806	Poxvirus, TNF receptor-II, C-terminal	PFAM	PF07190	DUF1406	
32225-Vv.00g001770.m01	IPR009176	Vaccinia virus, B7/C8	PIRSF	PIRSF003778	VAC_C8L	
32225-Vv.00g001770.m01	IPR009176	Vaccinia virus, B7/C8	PRODOM	PD578475		
32225-Vv.00g001780.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		GO:0019955, GO:0016020, GO:0005515
32225-Vv.00g001780.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		GO:0019955, GO:0016020, GO:0005515
32225-Vv.00g001780.m01	IPR021126	Interferon gamma receptor, poxvirus/mammal	PFAM	PF07140	IFNGR1	GO:0019955, GO:0016020, GO:0005515
32225-Vv.00g001780.m01	IPR036116	Fibronectin type III superfamily	SUPERFAMILY	SSF49265	Fibronectin type III	GO:0019955, GO:0016020, GO:0005515
32225-Vv.00g001790.m01	IPR015915	Kelch-type beta propeller	GENE3D	G3DSA:2.120.10.80		GO:0005515
32225-Vv.00g001790.m01	IPR015915	Kelch-type beta propeller	SUPERFAMILY	SSF117281	Kelch motif	GO:0005515
32225-Vv.00g001800.m01	noIPR		COILS	Coil	Coil	
32225-Vv.00g001800.m01	IPR009754	Orthopoxvirus B11R	PFAM	PF07033	Orthopox_B11R	
32225-Vv.00g001800.m01	IPR009754	Orthopoxvirus B11R	PRODOM	PD014956		
32225-Vv.00g001810.m01	IPR000719	Protein kinase domain	PFAM	PF00069	Pkinase	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001810.m01	noIPR		GENE3D	G3DSA:1.10.510.10		GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001810.m01	noIPR		PANTHER	PTHR11909	CASEIN KINASE-RELATED	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001810.m01	noIPR		PANTHER	PTHR11909:SF295	SUBFAMILY NOT NAMED	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001810.m01	IPR011009	Protein kinase-like domain superfamily	SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	GO:0004672, GO:0005524, GO:0006468
32225-Vv.00g001820.m01	IPR023796	Serpin domain	PFAM	PF00079	Serpin	GO:0005615
32225-Vv.00g001820.m01	noIPR		GENE3D	G3DSA:1.10.287.580		GO:0005615
32225-Vv.00g001820.m01	noIPR		GENE3D	G3DSA:3.30.497.10		GO:0005615
32225-Vv.00g001820.m01	IPR000215	Serpin family	PANTHER	PTHR11461	SERINE PROTEASE INHIBITOR, SERPIN	GO:0005615
32225-Vv.00g001820.m01	IPR036186	Serpin superfamily	SUPERFAMILY	SSF56574	Serpins	GO:0005615
32225-Vv.00g001830.m01	IPR023796	Serpin domain	SMART	SM00093	serpin2	GO:0005615
32225-Vv.00g001830.m01	IPR023796	Serpin domain	PFAM	PF00079	Serpin	GO:0005615
32225-Vv.00g001830.m01	noIPR		GENE3D	G3DSA:2.30.39.10		GO:0005615
32225-Vv.00g001830.m01	noIPR		GENE3D	G3DSA:3.30.497.10		GO:0005615
32225-Vv.00g001830.m01	IPR000215	Serpin family	PANTHER	PTHR11461	SERINE PROTEASE INHIBITOR, SERPIN	GO:0005615
32225-Vv.00g001830.m01	IPR023795	Serpin, conserved site	PROSITE_PATTERNS	PS00284	SERPIN	GO:0005615
32225-Vv.00g001830.m01	IPR036186	Serpin superfamily	SUPERFAMILY	SSF56574	Serpins	GO:0005615
32225-Vv.00g001840.m01	noIPR		GENE3D	G3DSA:1.10.437.20		
32225-Vv.00g001840.m01	IPR011212	Poxvirus B15/B22/C16	PIRSF	PIRSF017324	UCP017324	
32225-Vv.00g001840.m01	IPR022819	Poxvirus	PFAM	PF06227	Poxvirus	
32225-Vv.00g001850.m01	IPR003599	Immunoglobulin subtype	SMART	SM00409	IG_3c	
32225-Vv.00g001850.m01	IPR003598	Immunoglobulin subtype 2	SMART	SM00408	igc2_5	
32225-Vv.00g001850.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001850.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001850.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001850.m01	IPR013151	Immunoglobulin	PFAM	PF00047	ig	
32225-Vv.00g001850.m01	noIPR		PANTHER	PTHR11890:SF3	INTERLEUKIN-1 RECEPTOR TYPE 2	
32225-Vv.00g001850.m01	IPR015621	Interleukin-1 receptor family	PANTHER	PTHR11890	INTERLEUKIN-1 RECEPTOR	
32225-Vv.00g001850.m01	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	
32225-Vv.00g001850.m01	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	
32225-Vv.00g001850.m01	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	
32225-Vv.00g001860.m01	IPR009633	Vaccinia virus, B17	PFAM	PF06802	DUF1231	
32225-Vv.00g001870.m01	IPR002110	Ankyrin repeat	SMART	SM00248	ANK_2a	GO:0005515
32225-Vv.00g001870.m01	IPR002110	Ankyrin repeat	PFAM	PF13606	Ank_3	GO:0005515
32225-Vv.00g001870.m01	IPR002110	Ankyrin repeat	PFAM	PF00023	Ank	GO:0005515
32225-Vv.00g001870.m01	IPR018272	PRANC domain	PFAM	PF09372	PRANC	GO:0005515
32225-Vv.00g001870.m01	IPR036770	Ankyrin repeat-containing domain superfamily	GENE3D	G3DSA:1.25.40.20		GO:0005515
32225-Vv.00g001870.m01	IPR036770	Ankyrin repeat-containing domain superfamily	SUPERFAMILY	SSF48403	Ankyrin repeat	GO:0005515
32225-Vv.00g001870.m01	IPR036770	Ankyrin repeat-containing domain superfamily	SUPERFAMILY	SSF48403	Ankyrin repeat	GO:0005515
32225-Vv.00g001870.m01	noIPR		PANTHER	PTHR43928	FAMILY NOT NAMED	GO:0005515
32225-Vv.00g001880.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001880.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001880.m01	IPR007110	Immunoglobulin-like domain	PFAM	PF13895	Ig_2	
32225-Vv.00g001880.m01	IPR015621	Interleukin-1 receptor family	PANTHER	PTHR11890	INTERLEUKIN-1 RECEPTOR	
32225-Vv.00g001880.m01	IPR036179	Immunoglobulin-like domain superfamily	SUPERFAMILY	SSF48726	Immunoglobulin	
32225-Vv.00g001890.m01	IPR013783	Immunoglobulin-like fold	GENE3D	G3DSA:2.60.40.10		
32225-Vv.00g001930.m01	IPR011212	Poxvirus B15/B22/C16	PIRSF	PIRSF017324	UCP017324	
32225-Vv.00g001930.m01	noIPR		GENE3D	G3DSA:1.10.437.20		
32225-Vv.00g001930.m01	IPR022819	Poxvirus	PFAM	PF06227	Poxvirus	
32225-Vv.00g001940.m01	IPR002110	Ankyrin repeat	SMART	SM00248	ANK_2a	GO:0005515
32225-Vv.00g001940.m01	IPR036770	Ankyrin repeat-containing domain superfamily	GENE3D	G3DSA:1.25.40.20		GO:0005515
32225-Vv.00g001940.m01	IPR036770	Ankyrin repeat-containing domain superfamily	SUPERFAMILY	SSF48403	Ankyrin repeat	GO:0005515
32225-Vv.00g001980.m01	IPR010806	Poxvirus, TNF receptor-II, C-terminal	PFAM	PF07190	DUF1406	
32225-Vv.00g001980.m01	noIPR		GENE3D	G3DSA:2.60.240.20		
32225-Vv.00g001980.m01	noIPR		GENE3D	G3DSA:3.10.360.30		
32225-Vv.00g001980.m01	noIPR		SUPERFAMILY	SSF57586	TNF receptor-like	
32225-Vv.00g001990.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	GENE3D	G3DSA:2.60.240.10		
32225-Vv.00g001990.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	SUPERFAMILY	SSF49889	Soluble secreted chemokine inhibitor, VCCI	
32225-Vv.00g001990.m01	IPR003184	Major secreted virus protein, 35kDa	PFAM	PF02250	Orthopox_35kD	
32225-Vv.00g002000.m01	IPR003184	Major secreted virus protein, 35kDa	PFAM	PF02250	Orthopox_35kD	
32225-Vv.00g002000.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	GENE3D	G3DSA:2.60.240.10		
32225-Vv.00g002000.m01	IPR036540	Poxvirus chemokine inhibitor superfamily	SUPERFAMILY	SSF49889	Soluble secreted chemokine inhibitor, VCCI	
